nom,description,email,password
Carlos Perez,Usuario administrador,carlos.perez12@example.com,Abc12345
Ana Torres,Usuario estándar,ana.torres99@example.com,Qwe98765
Lucia Gomez,Cuenta invitada,lucia.gomez77@example.com,Lkg45612
Miguel Ramirez,Usuario premium,miguel.ramirez55@example.com,Mpr78934
Sofia Martinez,Usuario estándar,sofia.martinez21@example.com,Sfm12398
Javier Lopez,Usuario administrador,javier.lopez88@example.com,Jvl65432
Laura Fernandez,Cuenta invitada,laura.fernandez44@example.com,Lrf98721
David Sanchez,Usuario premium,david.sanchez33@example.com,Dvs43210
Elena Ruiz,Usuario estándar,elena.ruiz66@example.com,Erz87654
Pablo Diaz,Cuenta invitada,pablo.diaz11@example.com,Pbd34567
